   Date, Precipitation (in), Tmax (F), Tmin (F), Snow Depth On Ground (Inches)
   01/01/1940, nan, nan, nan, nan
   01/02/1940, nan, nan, nan, nan
   01/03/1940, nan, nan, nan, nan
   01/04/1940, nan, nan, nan, nan
   01/05/1940, nan, nan, nan, nan
   01/06/1940, nan, nan, nan, nan
   01/07/1940, nan, nan, nan, nan
   01/08/1940, nan, nan, nan, nan
   01/09/1940, nan, nan, nan, nan
   01/10/1940, nan, nan, nan, nan
   01/11/1940, nan, nan, nan, nan
   01/12/1940, nan, nan, nan, nan
   01/13/1940, nan, nan, nan, nan
   01/14/1940, nan, nan, nan, nan
   01/15/1940, nan, nan, nan, nan
   01/16/1940, nan, nan, nan, nan
   01/17/1940, nan, nan, nan, nan
   01/18/1940, nan, nan, nan, nan
   01/19/1940, nan, nan, nan, nan
   01/20/1940, nan, nan, nan, nan
   01/21/1940, nan, nan, nan, nan
   01/22/1940, nan, nan, nan, nan
   01/23/1940, nan, nan, nan, nan
   01/24/1940, nan, nan, nan, nan
   01/25/1940, nan, nan, nan, nan
   01/26/1940, nan, nan, nan, nan
   01/27/1940, nan, nan, nan, nan
   01/28/1940, nan, nan, nan, nan
   01/29/1940, nan, nan, nan, nan
   01/30/1940, nan, nan, nan, nan
   01/31/1940, nan, nan, nan, nan
   02/01/1940, nan, nan, nan, nan
   02/02/1940, nan, nan, nan, nan
   02/03/1940, nan, nan, nan, nan
   02/04/1940, nan, nan, nan, nan
   02/05/1940, nan, nan, nan, nan
   02/06/1940, nan, nan, nan, nan
   02/07/1940, nan, nan, nan, nan
   02/08/1940, nan, nan, nan, nan
   02/09/1940, nan, nan, nan, nan
   02/10/1940, nan, nan, nan, nan
   02/11/1940, nan, nan, nan, nan
   02/12/1940, nan, nan, nan, nan
   02/13/1940, nan, nan, nan, nan
   02/14/1940, nan, nan, nan, nan
   02/15/1940, nan, nan, nan, nan
   02/16/1940, nan, nan, nan, nan
   02/17/1940, nan, nan, nan, nan
   02/18/1940, nan, nan, nan, nan
   02/19/1940, nan, nan, nan, nan
   02/20/1940, nan, nan, nan, nan
   02/21/1940, nan, nan, nan, nan
   02/22/1940, nan, nan, nan, nan
   02/23/1940, nan, nan, nan, nan
   02/24/1940, nan, nan, nan, nan
   02/25/1940, nan, nan, nan, nan
   02/26/1940, nan, nan, nan, nan
   02/27/1940, nan, nan, nan, nan
   02/28/1940, nan, nan, nan, nan
   02/29/1940, nan, nan, nan, nan
